Date/Time,Word Count,de,en,es-ES,fr,ja,ko,pl,pt-BR,ru,th,tr,zh-Hans,zh-Hant
2026.05.09-11.21.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.05.09-11.51.09,2650,0,2650,0,0,0,0,0,0,0,0,0,0,0
2026.05.09-12.15.12,1547,0,1547,0,0,0,0,0,0,0,0,0,0,0
2026.05.09-13.07.13,356,0,356,0,0,0,0,0,0,0,0,0,0,0
2026.05.09-13.46.46,356,0,356,0,0,0,154,0,0,0,0,0,0,0
2026.05.11-12.28.28,529,0,529,0,0,0,158,0,0,0,0,0,0,0
2026.05.11-12.47.30,529,0,529,0,0,0,223,0,0,0,0,0,0,0
2026.05.11-17.59.48,529,0,529,0,0,0,303,0,0,0,0,0,0,0
2026.05.12-09.46.39,529,0,529,0,0,0,314,0,0,0,0,0,0,0
2026.05.12-21.48.18,529,304,529,304,304,304,314,304,304,304,304,304,304,304
2026.05.12-22.19.30,529,304,529,304,304,304,315,304,304,304,304,304,304,304
2026.05.12-23.41.41,526,294,526,294,294,294,305,294,294,294,294,294,294,294
2026.05.13-08.05.14,526,307,526,307,307,307,318,307,307,307,307,307,307,307
